,app_name,at,content,score,sentiment,word_count
0,MyChart,2022-01-26 22:07:21,Great app. Complete medical history at your fingertips.,5.0,data quality,8.0
1,Ada,2017-11-08 03:17:40,"Helpful app, very interactive and easy to use nice job ada",5.0,reliability,11.0
2,MyChart,2019-11-25 03:46:48,Helps me keep up with my opponents and easy to use,5.0,data quality,11.0
3,FollowMyHealth,2017-05-03 10:09:16,Love using this app. Helps me keep everything  straight.,5.0,reliability,9.0
4,MyChart,2024-08-07 05:16:10,Full of useful information and effective tools to help me get what I need.,5.0,data quality,14.0
5,healow,2020-10-27 15:48:22,Helps me keep track of medications and services,4.0,data quality,8.0
6,FollowMyHealth,2019-12-10 08:20:12,Helps me keep up with my appointments and medications!,5.0,data quality,9.0
7,MyChart,2021-10-07 11:50:40,Help me keep up everything . Thank you,5.0,data quality,8.0
8,FollowMyHealth,2017-12-22 13:01:20,Very informative and easy to use. Helpful with my medical information being close at hand.,5.0,data quality,15.0
9,APPatient,2022-05-05 14:10:23,1st time ever logging in per dr. office and already making me do a forgot password with a link that just take me to dl the app again. Super Intuitive. Doesn't work on cpu either.,1.0,reliability,35.0
10,MyChart,2021-07-27 17:47:55,Recent update and remodeling of the UI has been a major positive change to the ease of use and attraction of the app,5.0,reliability,23.0
11,healow,2016-12-22 08:14:44,Helps keep up with dr appointments and meds,5.0,data quality,8.0
12,healow,2021-04-16 08:34:26,Helps me to keep up with everything all in one place,5.0,data quality,11.0
13,FollowMyHealth,2024-08-03 12:47:44,Fairly easy to use but not intuitive yet.,4.0,reliability,8.0
14,FollowMyHealth,2017-08-08 21:03:39,Helping me keep track of of my life,5.0,data quality,8.0
15,MyChart,2021-10-06 19:57:02,"Update 9/6/21. Had app for some time. Love it. Has all appt's, records, visits and everything one needs to know. Great app.",5.0,data quality,22.0
16,FollowMyHealth,2019-08-25 13:00:43,"Great app! Helps me keep track of appointments, health and communicate with my doctors.",5.0,data quality,14.0
17,Practo,2020-08-14 07:21:58,Customer care number is not there..I have paid money..I didn't consult the doctor..doctor was ont there in on time..I don't know how get my money back..I will recommend to anyone..cheated alp,1.0,support,31.0
18,United Healthcare,2020-09-16 13:28:18,Honestly pretty good as far as a health insurance app can go!,5.0,reliability,12.0
19,FollowMyHealth,2017-05-25 21:08:23,Love it! Helps me keep track of everything,5.0,data quality,8.0
20,FollowMyHealth,2018-12-02 16:40:21,Helps keep track of appointments and all your medications in one place.,5.0,data quality,12.0
21,FollowMyHealth,2018-01-09 11:19:20,Love the app. Helps me with all the information I need in the palm of my hand. Don't have to stay on hold and wait for other doctors to fax information.,5.0,data quality,31.0
22,healow,2017-07-29 11:13:38,Helps me to keep track of my appointments and medications,5.0,data quality,10.0
